Reina Ariza Ferrán
Felix Arribas Exposito
Dalila Pilar Martí Salas
Fabián Cantero Cerdán
Amor Quesada Pulido
Albino Morán Reguera
Asdrubal Huerta
María Manuela de Noguera
Máximo Nadal-Torralba
Sol Blanco Martínez
Mariano del Bellido
Duilio Morante Alcalde
Valentín Jaén Ortiz
Ambrosio Barreda Luz
Cándido Bas Olivé
Porfirio Escolano Gallego
Julio Jimenez Conesa
Manuel Conesa Hoyos
Azahara Seguí Gargallo
Nuria Máxima Caro Folch
Benjamín Gomez-Domingo
Casandra Lucena Sanmartín
Emilio Velasco Tormo
Quique Galván-Lloret
Juan Bravo Arnal
Tania Verdugo Álvarez
Manu Pepe Dueñas Olivé
Custodio Verdú Pedraza
Victor Blazquez Machado
Elisa Valbuena Manjón
Joaquina Vall
Perlita Saavedra Moreno
Juan José Córdoba Catalá
Marianela de Ramón
Emilia Elorza González
Trinidad Oliver Guerrero
Teodoro Seguí-Donoso
Dan Catalán Pallarès
Severo Morcillo Rosado
Delfina Clavero Sierra
María José Barrera Asensio
Modesta Sancho Escolano
Florencia Pazos Rivero
Lupita Landa Cifuentes
Cristian del Seguí
Martín Peláez Soria
Montserrat del Pozo
Ruperta del Calzada
Bernardita Cuevas Pedrero
Amelia Estrada Parejo
Carmelo Agullo Bustamante
Demetrio Vargas Vara
Nicolás Martín García
Clotilde Heras Guijarro
Iker Vega Manrique
Jimena Armas Badía
Gastón Franch Arce
Mónica Esteban Cazorla
Isabel Bernarda Lamas Tejada
Adela Menéndez
Serafina Morillo Castellanos
Andrea Clavero Robledo
Mohamed Delgado Pazos
Timoteo Jose Ignacio Cuéllar Marí
Lupe Hoz Yuste
Victoriano Bastida Casares
Gema Puga Hervia
Alfredo Portero Ricart
Berto Lillo Robledo
Adelardo Serrano Ropero
María Moliner Pereira
Bonifacio Donaire Tapia
Belén Donaire Gaya
Casandra Varela Company
Julia Bautista Grande
Óscar Adolfo Pombo Sedano
Faustino Cerdán Piquer
Adelaida Noriega Fajardo
Flora Aguirre-Miguel
Flor Manuelita Milla Calzada
Edelmira Sanjuan-Barba
Cirino Cornejo
Ana Belén del Garmendia
Pedro Codina Jáuregui
Herberto del Fiol
Brunilda Camino
Vilma Contreras
Vito Tamarit Franch
Emiliano Galán Alegre
Amparo Vigil Peinado
Elodia Vicens-Páez
Rolando Viana Carrasco
Marisela Salcedo Artigas
Felisa Acero Álvaro
Bernarda Soria
Aarón de Mayo
Macaria del Belmonte
Saturnino Calzada-Lucena
Humberto Navarro Mate
Rafaela Teruel-Ponce
Emma Iris Flor Bermúdez
José Molina Quirós
Víctor Leiva Juan
Lucía Lasa-Vilalta
Natalio Pinedo-Villaverde
Luis Ángel Mir-Tapia
Encarnación Aroa Arjona Batlle
Ruben Cantón Coloma
Timoteo Bonilla Rosell
Herberto Roman Suarez
Raúl Mariscal
Felipa Izquierdo Soto
Chelo Ródenas Bonet
Raimundo Vilanova-Uría
Anunciación Manzanares Mur
Jenny Carretero Oliver
Flora Loreto Puerta Mateos
María Peña Robles
Inés Lupita Company Menendez
Amelia Daza Pera
Sigfrido Montenegro Nicolau
Humberto del Carreras
María Carmen Larrea Zamorano
Carmen Posada
Bernardita Cerdán
Ofelia Cárdenas
Liliana Castilla
Álvaro Valdés Sales
Sosimo Rosado-Fabregat
Concepción Sainz Valderrama
Cleto Crespi Barrios
Alejo Gimenez Malo
Dorita Escolano Alcalde
Imelda Múgica Pedro
Angelita Huertas Gámez
Mamen Montoya Gárate
Isabela Alcázar Escribano
Leyre Ordóñez Perea
Odalis Quesada Saavedra
Nieves Carreras Galiano
Martina Cámara
Isaac Pujol-Salas
Marcelino de Otero
Mirta Girona Bueno
Maricela Tenorio
Claudio Miralles Ballester
Lucho Valentín Cervera
Fausto Danilo Barrios Rios
Etelvina Escudero Pol
Leocadia del Feijoo
Aroa Pou Capdevila
Amaro Arévalo Vergara
Tecla Cueto-Benito
Mariano Salgado Manuel
Albino Quirós Ribes
Fortunato Gálvez Nicolau
Amaya Acosta Lozano
Anastasio Jara Martorell
Luis Miguel Talavera Oliver
Violeta Castells Álvarez
Samu de Rivas
Salvador Valencia-Pera
Alba Fernandez-Guillen
Evaristo Iglesia Fiol
Griselda Madrigal Calzada
